iter	Passed	Remaining
0	105	105386
1	161	80607
2	214	71308
3	271	67530
4	323	64342
5	406	67297
6	462	65675
7	518	64323
8	577	63588
9	631	62557
10	688	61898
11	746	61484
12	798	60598
13	858	60458
14	923	60635
15	997	61338
16	1065	61632
17	1127	61526
18	1188	61354
19	1249	61207
20	1302	60711
21	1350	60057
22	1404	59654
23	1452	59057
24	1501	58556
25	1559	58432
26	1611	58077
27	1672	58047
28	1722	57684
29	1778	57490
30	1834	57344
31	1889	57164
32	1940	56871
33	1994	56659
34	2047	56441
35	2104	56355
36	2158	56190
37	2213	56026
38	2264	55806
39	2313	55528
40	2368	55390
41	2423	55283
42	2474	55074
43	2526	54896
44	2580	54762
45	2635	54654
46	2684	54436
47	2739	54337
48	2792	54189
49	2845	54056
50	2907	54103
51	2956	53891
52	3015	53884
53	3071	53808
54	3126	53713
55	3177	53556
56	3233	53497
57	3288	53403
58	3339	53268
59	3392	53145
60	3446	53057
61	3496	52894
62	3548	52784
63	3597	52614
64	3652	52540
65	3706	52459
66	3761	52381
67	3817	52318
68	3863	52126
69	3912	51986
70	3962	51845
71	4015	51753
72	4069	51673
73	4117	51526
74	4161	51331
75	4204	51112
76	4265	51128
77	4310	50954
78	4364	50885
79	4416	50790
80	4472	50740
81	4533	50753
82	4597	50796
83	4650	50715
84	4721	50826
85	4779	50800
86	4838	50776
87	4887	50651
88	4945	50622
89	5011	50674
90	5074	50690
91	5134	50674
92	5190	50625
93	5244	50543
94	5311	50599
95	5377	50639
96	5428	50538
97	5489	50524
98	5547	50485
99	5604	50437
100	5659	50370
101	5718	50348
102	5781	50352
103	5837	50292
104	5901	50303
105	5957	50243
106	6012	50180
107	6063	50076
108	6129	50107
109	6191	50096
110	6251	50068
111	6305	49996
112	6359	49921
113	6416	49866
114	6476	49837
115	6549	49912
116	6604	49841
117	6655	49749
118	6711	49685
119	6772	49665
120	6838	49674
121	6902	49674
122	6947	49532
123	7002	49467
124	7057	49405
125	7110	49319
126	7162	49235
127	7235	49289
128	7301	49299
129	7354	49217
130	7414	49185
131	7461	49064
132	7516	48995
133	7576	48963
134	7635	48922
135	7709	48980
136	7758	48871
137	7809	48780
138	7861	48697
139	7912	48605
140	7966	48535
141	8023	48480
142	8083	48445
143	8142	48403
144	8198	48340
145	8259	48309
146	8319	48278
147	8377	48227
148	8429	48147
149	8493	48130
150	8550	48072
151	8612	48049
152	8664	47968
153	8735	47989
154	8793	47939
155	8855	47907
156	8904	47813
157	8955	47726
158	9021	47718
159	9079	47669
160	9134	47601
161	9184	47509
162	9248	47489
163	9300	47407
164	9360	47369
165	9409	47275
166	9463	47204
167	9523	47166
168	9580	47106
169	9635	47043
170	9685	46952
171	9742	46901
172	9791	46806
173	9842	46723
174	9895	46649
175	9940	46539
176	9989	46450
177	10046	46396
178	10093	46294
179	10140	46195
180	10194	46129
181	10242	46033
182	10297	45974
183	10356	45927
184	10408	45853
185	10453	45749
186	10507	45684
187	10552	45576
188	10603	45500
189	10662	45455
190	10724	45422
191	10777	45354
192	10831	45289
193	10897	45274
194	10942	45171
195	10996	45106
196	11048	45035
197	11102	44971
198	11153	44896
199	11205	44823
200	11259	44758
201	11312	44690
202	11362	44610
203	11413	44535
204	11462	44453
205	11524	44420
206	11577	44353
207	11632	44291
208	11689	44239
209	11745	44186
210	11811	44167
211	11863	44096
212	11911	44011
213	11961	43933
214	12014	43867
215	12059	43771
216	12124	43750
217	12178	43684
218	12230	43615
219	12284	43555
220	12334	43476
221	12386	43407
222	12432	43317
223	12482	43242
224	12535	43176
225	12589	43116
226	12638	43037
227	12698	42996
228	12749	42925
229	12802	42860
230	12852	42786
231	12902	42711
232	12953	42640
233	13008	42584
234	13053	42493
235	13102	42417
236	13160	42369
237	13220	42326
238	13270	42254
239	13334	42226
240	13389	42169
241	13433	42078
242	13495	42041
243	13540	41952
244	13590	41882
245	13650	41839
246	13710	41797
247	13765	41741
248	13832	41719
249	13903	41709
250	13955	41643
251	14008	41580
252	14065	41528
253	14118	41467
254	14180	41428
255	14226	41344
256	14279	41281
257	14334	41225
258	14389	41169
259	14440	41099
260	14495	41041
261	14554	40996
262	14601	40916
263	14656	40861
264	14710	40801
265	14761	40732
266	14810	40659
267	14878	40637
268	14952	40631
269	15027	40630
270	15104	40631
271	15164	40587
272	15232	40564
273	15291	40517
274	15353	40477
275	15412	40430
276	15478	40399
277	15545	40374
278	15626	40382
279	15694	40356
280	15759	40324
281	15832	40311
282	15884	40244
283	15929	40160
284	15986	40106
285	16044	40055
286	16098	39993
287	16165	39964
288	16220	39904
289	16273	39842
290	16334	39798
291	16395	39753
292	16467	39734
293	16529	39692
294	16579	39622
295	16634	39563
296	16693	39514
297	16767	39498
298	16883	39584
299	16954	39559
300	17028	39545
301	17099	39522
302	17174	39508
303	17244	39481
304	17301	39425
305	17349	39347
306	17404	39287
307	17464	39237
308	17527	39195
309	17582	39135
310	17637	39074
311	17690	39010
312	17748	38956
313	17800	38889
314	17855	38828
315	17905	38756
316	17954	38685
317	18018	38642
318	18071	38579
319	18130	38526
320	18192	38481
321	18237	38400
322	18297	38350
323	18347	38279
324	18409	38234
325	18475	38196
326	18533	38144
327	18593	38094
328	18649	38035
329	18702	37970
330	18761	37919
331	18819	37865
332	18895	37847
333	18960	37807
334	19022	37761
335	19080	37706
336	19149	37673
337	19216	37636
338	19272	37577
339	19325	37513
340	19373	37439
341	19429	37381
342	19486	37325
343	19534	37251
344	19586	37186
345	19641	37126
346	19693	37059
347	19754	37012
348	19801	36937
349	19869	36901
350	19930	36852
351	20000	36818
352	20064	36774
353	20121	36718
354	20191	36686
355	20262	36655
356	20336	36628
357	20392	36569
358	20444	36504
359	20511	36465
360	20568	36407
361	20636	36370
362	20705	36334
363	20761	36276
364	20815	36212
365	20863	36140
366	20921	36084
367	20962	36000
368	21021	35947
369	21080	35894
370	21147	35854
371	21194	35779
372	21247	35717
373	21297	35647
374	21347	35579
375	21401	35517
376	21458	35459
377	21508	35392
378	21560	35327
379	21617	35269
380	21669	35205
381	21721	35141
382	21774	35077
383	21828	35016
384	21893	34973
385	21951	34917
386	21999	34847
387	22070	34812
388	22171	34825
389	22231	34772
390	22285	34709
391	22342	34654
392	22392	34585
393	22542	34671
394	22639	34675
395	22697	34619
396	22753	34560
397	22824	34523
398	22892	34481
399	22960	34441
400	23022	34390
401	23108	34375
402	23186	34348
403	23301	34375
404	23435	34430
405	23516	34405
406	23588	34369
407	23663	34335
408	23714	34267
409	23776	34214
410	23879	34220
411	24017	34277
412	24150	34325
413	24285	34375
414	24384	34373
415	24505	34401
416	24568	34348
417	24618	34277
418	24685	34229
419	24754	34184
420	24805	34114
421	24862	34053
422	24917	33989
423	24970	33921
424	25028	33862
425	25079	33792
426	25147	33745
427	25202	33681
428	25256	33615
429	25311	33552
430	25372	33496
431	25431	33438
432	25486	33373
433	25546	33316
434	25605	33257
435	25660	33193
436	25722	33139
437	25776	33073
438	25836	33016
439	25899	32962
440	25965	32912
441	26018	32847
442	26069	32777
443	26126	32717
444	26176	32647
445	26227	32578
446	26281	32513
447	26332	32445
448	26383	32376
449	26440	32315
450	26488	32243
451	26546	32184
452	26597	32117
453	26655	32056
454	26708	31991
455	26760	31925
456	26810	31856
457	26868	31796
458	26924	31734
459	26986	31680
460	27045	31622
461	27099	31557
462	27163	31505
463	27219	31443
464	27276	31382
465	27320	31307
466	27384	31254
467	27446	31200
468	27495	31130
469	27584	31105
470	27638	31042
471	27694	30979
472	27754	30922
473	27817	30869
474	27876	30810
475	27935	30752
476	28001	30701
477	28065	30648
478	28131	30597
479	28196	30546
480	28254	30486
481	28310	30425
482	28361	30357
483	28417	30295
484	28477	30239
485	28538	30183
486	28593	30120
487	28652	30061
488	28712	30004
489	28761	29935
490	28823	29880
491	28876	29815
492	28939	29761
493	29000	29705
494	29058	29645
495	29126	29595
496	29190	29543
497	29251	29486
498	29307	29425
499	29359	29359
500	29412	29295
501	29466	29231
502	29525	29172
503	29579	29110
504	29639	29052
505	29705	29000
506	29766	28944
507	29880	28939
508	29960	28901
509	30026	28848
510	30076	28781
511	30136	28724
512	30189	28659
513	30249	28601
514	30303	28538
515	30360	28477
516	30424	28423
517	30481	28363
518	30533	28298
519	30591	28238
520	30647	28177
521	30702	28114
522	30756	28051
523	30814	27991
524	30866	27926
525	30932	27874
526	30987	27812
527	31041	27749
528	31105	27694
529	31158	27631
530	31234	27587
531	31295	27530
532	31346	27465
533	31407	27408
534	31460	27344
535	31519	27285
536	31581	27229
537	31642	27172
538	31704	27116
539	31770	27063
540	31828	27004
541	31894	26951
542	31970	26906
543	32044	26860
544	32119	26815
545	32200	26774
546	32263	26718
547	32342	26676
548	32417	26630
549	32485	26578
550	32558	26531
551	32634	26485
552	32702	26434
553	32781	26390
554	32849	26338
555	32910	26280
556	32969	26221
557	33025	26160
558	33083	26100
559	33131	26031
560	33188	25971
561	33255	25917
562	33318	25861
563	33369	25796
564	33431	25739
565	33495	25683
566	33560	25628
567	33621	25571
568	33684	25515
569	33743	25455
570	33797	25392
571	33857	25334
572	33916	25274
573	33975	25215
574	34038	25158
575	34113	25111
576	34168	25048
577	34228	24990
578	34284	24928
579	34346	24871
580	34418	24821
581	34483	24766
582	34543	24707
583	34601	24647
584	34655	24584
585	34718	24528
586	34778	24469
587	34829	24404
588	34887	24344
589	34950	24287
590	35008	24227
591	35062	24164
592	35125	24107
593	35186	24050
594	35250	23994
595	35310	23935
596	35374	23879
597	35424	23813
598	35490	23758
599	35554	23702
600	35609	23641
601	35677	23587
602	35739	23530
603	35798	23470
604	35857	23411
605	35917	23352
606	35973	23290
607	36031	23230
608	36092	23172
609	36181	23132
610	36233	23068
611	36293	23009
612	36357	22953
613	36412	22890
614	36471	22831
615	36530	22771
616	36590	22713
617	36657	22658
618	36718	22600
619	36783	22544
620	36838	22482
621	36900	22424
622	36963	22368
623	37018	22305
624	37081	22249
625	37130	22183
626	37198	22129
627	37267	22075
628	37328	22017
629	37392	21960
630	37457	21904
631	37525	21850
632	37592	21795
633	37663	21742
634	37730	21687
635	37790	21628
636	37854	21571
637	37916	21513
638	37974	21453
639	38036	21395
640	38106	21342
641	38161	21279
642	38213	21216
643	38274	21157
644	38326	21094
645	38384	21034
646	38444	20974
647	38514	20921
648	38576	20863
649	38653	20813
650	38716	20756
651	38780	20698
652	38850	20644
653	38908	20584
654	38971	20527
655	39031	20467
656	39094	20409
657	39156	20352
658	39220	20294
659	39283	20237
660	39353	20182
661	39427	20130
